category,code,name_df,name,source,frequency,original,order,transf,tcode,transf_code,days_lag,where
Monetary and Finance,^BVSP,ibov,Ibovespa - Variação mensal,B3,M,Points,I(1),diff,2,1,1,Yahoo! Finance
Monetary and Finance,^IXIC,nasdaq,Nasdaq - Variação mensal ,Nasdaq,M,Points,I(1),diff,2,1,1,Yahoo! Finance
Monetary and Finance,^GSPC,snp_500,S&P 500 - Variação mensal,S&P 500,M,Points,I(1),diff,2,1,1,Yahoo! Finance
Monetary and Finance,^DJI,dji,Dow Jones Industry Composite Index - Variação mensal,DJ,M,Points,I(1),diff,2,1,1,Yahoo! Finance
Survey and Others,crise,gt_crise,Google Trends - crise ,Google,M,Trend Index,I(1),diff,2,1,0,Pytrends
Survey and Others,desemprego,gt_desemprego,Google Trends - desemprego ,Google,M,Trend Index,I(0),none,0,1,0,Pytrends
Survey and Others,seguro desemprego,gt_seguro_desemprego,Google Trends - seguro desemprego,Google,M,Trend Index,I(0),none,0,3,0,Pytrends
Survey and Others,empregos,gt_empregos,Google Trends - empregos,Google,M,Trend Index,I(1),diff,2,1,0,Pytrends
Survey and Others,trabalho,gt_trabalho,Google Trends - Trabalho,Google,M,Trend Index,I(1),diff,2,3,0,Pytrends
Survey and Others,fgts,gt_fgts,Google Trends - FGTS,Google,M,Trend Index,I(0),none,0,1,0,Pytrends
Survey and Others,renda,gt_renda,Google Trends - Renda,Google,M,Trend Index,I(1),diff,2,1,0,Pytrends
Survey and Others,salario,gt_salario,Google Trends - Salário,Google,M,Trend Index,I(1),diff,2,1,0,Pytrends
Survey and Others,economia,gt_economia,Google Trends - Economia,Google,M,Trend Index,I(1),diff,2,1,0,Pytrends
